postal_code,count
820633,10
790414,8
080001,7
820305,7
820314,6
824170,6
082001,5
820665,5
050531,4
310085,4
540272,4
540273,4
750121,4
820271,4
180261,3
180269,3
200803,3
540275,3
570273,3
820288,3
820308,3
820310,3
050335,2
081007,2
180231,2
312085,2
420002,2
540212,2
540277,2
760342,2
760347,2
050004,1
050034,1
050532,1
050533,1
050535,1
050536,1
050538,1
051335,1
051531,1
052335,1
080008,1
080009,1
080011,1
080012,1
080013,1
080016,1
080017,1
080018,1
080019,1
080334,1
081003,1
081004,1
081005,1
081008,1
082002,1
085101,1
085201,1
085301,1
085401,1
085501,1
085601,1
085701,1
090001,1
090005,1
090006,1
090007,1
090008,1
090010,1
090012,1
090013,1
090014,1
090015,1
090016,1
090017,1
090018,1
090020,1
090021,1
090022,1
090023,1
090024,1
090025,1
090026,1
090027,1
090028,1
090030,1
090031,1
090032,1
090033,1
090034,1
090035,1
090037,1
090038,1
090039,1
090040,1
090042,1
090043,1
090101,1
090102,1
090103,1
090104,1
090105,1
090106,1
090107,1
090108,1
090109,1
090110,1
090111,1
090112,1
090113,1
090114,1
090115,1
091014,1
091017,1
100044,1
100045,1
100046,1
100047,1
100048,1
100049,1
100050,1
100051,1
100052,1
100053,1
100054,1
100055,1
100056,1
100057,1
100058,1
100059,1
100060,1
100061,1
100062,1
100063,1
100064,1
100065,1
100066,1
100067,1
100068,1
100069,1
100072,1
100073,1
100074,1
100075,1
100076,1
100077,1
100084,1
100085,1
100086,1
100087,1
100088,1
100110,1
100113,1
100114,1
101070,1
101080,1
101090,1
101091,1
101092,1
101093,1
101103,1
101104,1
101105,1
101106,1
101109,1
101110,1
101111,1
101112,1
102070,1
102080,1
102090,1
102092,1
102093,1
102103,1
102104,1
102106,1
102109,1
102111,1
102112,1
103070,1
103080,1
120101,1
120102,1
120103,1
120104,1
120105,1
120109,1
120110,1
120111,1
120112,1
120113,1
120114,1
120115,1
120116,1
120117,1
120118,1
120201,1
120202,1
120204,1
120205,1
120206,1
120301,1
120302,1
120303,1
120304,1
120305,1
120306,1
120307,1
120308,1
120309,1
120310,1
120315,1
120316,1
120317,1
120318,1
120319,1
120320,1
120324,1
120325,1
120326,1
120327,1
120328,1
120329,1
120330,1
120331,1
120332,1
120333,1
120334,1
120335,1
120336,1
120337,1
120338,1
120339,1
120340,1
120341,1
120342,1
120343,1
120344,1
120345,1
120346,1
120347,1
120348,1
120349,1
120350,1
120351,1
120352,1
120354,1
120355,1
120356,1
120357,1
120358,1
120359,1
120362,1
120363,1
120364,1
